"id","education","experience","major","gender","country","salary"
305,"Masters",2,"Others","Man","USA","$20k - $40k"
306,"Masters",7,"Physics","Man","USA","$20k - $40k"
307,"Bachelors",1,"Others","Man","Colombia","Less than $20,000"
308,"Bachelors",6,"Others","Man","United Kingdom","$60k - $80k"
309,"Masters",5,"Others","Man","United Kingdom","Others"
310,"Masters",3,"Others","Man","USA","$40k - $60k"
311,"PhD",5,"Others","Man","USA","$180k - $200k"
312,"Bachelors",3,"Mathematics","Man","United Kingdom","$100k - $120k"
313,"Bachelors",20,"Economics","Man","United Kingdom","$120k - $140k"
314,"PhD",5,"Others","Man","France","$100k - $120k"
315,"PhD",4,"Others","Man","France","$160k - $180k"
316,"Bachelors",15,"Others","Man","Others","$20k - $40k"
317,"Bachelors",2,"Economics","Man","Mexico","$40k - $60k"
318,"PhD",0,"Others","Man","France","$100k - $120k"
319,"Masters",6,"Others","Man","USA","$80k - $100k"
320,"Masters",1,"Others","Man","United Kingdom","$40k - $60k"
321,"Bachelors",3,"Others","Man","Others","$40k - $60k"
322,"Bachelors",3,"Others","Man","USA","$60k - $80k"
323,"Bachelors",1,"Others","Man","United Kingdom","$20k - $40k"
324,"Bachelors",5,"Others","Man","USA","$80k - $100k"
325,"Bachelors",6,"Others","Man","Canada","$60k - $80k"
326,"Bachelors",0,"Others","Man","Others","Others"
327,"Masters",0,"Others","Man","Spain","$40k - $60k"
328,"Bachelors",1,"Others","Man","USA","$80k - $100k"
329,"Masters",2,"Others","Man","USA","$60k - $80k"
330,"Bachelors",2,"Music","Man","United Kingdom","$60k - $80k"
331,"Masters",3,"Others","Man","Others","$80k - $100k"
332,"Bachelors",1,"Others","Man","USA","$20k - $40k"
333,"Bachelors",4,"Others","Man","Argentina","$20k - $40k"
334,"PhD",2,"Others","Man","USA","$80k - $100k"
335,"Bachelors",2,"Others","Man","France","$20k - $40k"
336,"Masters",4,"Art","Man","USA","$60k - $80k"
337,"Bachelors",2,"Others","Man","Others","Less than $20,000"
338,"Bachelors",2,"Others","Man","Australia","$60k - $80k"
339,"Others",1.5,"Engineering","Man","Others","Less than $20,000"
340,"PhD",0,"Others","Man","USA","Less than $20,000"
341,"Masters",3,"Others","Man","Canada","$20k - $40k"
342,"Others",3,"Others","Man","United Kingdom","$40k - $60k"
343,"Bachelors",1,"Others","Man","Others","Less than $20,000"
344,"Bachelors",3,"Others","Man","USA","$80k - $100k"
345,"Others",10,"Others","Man","USA","$100k - $120k"
346,"Bachelors",7,"Engineering","Man","USA","$100k - $120k"
347,"Masters",6,"Others","Man","Others","$60k - $80k"
348,"Bachelors",15,"Others","Man","USA","$80k - $100k"
349,"Bachelors",4,"Others","Man","USA","$140k - $160k"
350,"Bachelors",2,"Others","Man","Mexico","$20k - $40k"
351,"Masters",0,"Others","Man","Others","$200k+"
352,"Bachelors",5,"Others","Man","USA","$120k - $140k"
353,"Masters",3,"Others","Man","Others","$60k - $80k"
354,"Masters",4,"Economics","Man","United Kingdom","$60k - $80k"
355,"PhD",1,"Others","Man","Others","Less than $20,000"
356,"PhD",15,"Others","Man","France","$40k - $60k"
357,"PhD",6,"Others","Man","USA","$40k - $60k"
358,"Masters",7,"Others","Man","USA","$80k - $100k"
359,"Bachelors",8,"Others","Man","USA","$80k - $100k"
360,"Masters",2,"Economics","Man","USA","$120k - $140k"
361,"Bachelors",11,"Others","Man","USA","$80k - $100k"
362,"Bachelors",5,"Mathematics","Man","USA","$120k - $140k"
363,"Masters",5,"Others","Man","USA","$100k - $120k"
364,"Masters",2,"Business","Man","USA","$140k - $160k"
365,"PhD",3,"Business","Man","Canada","$60k - $80k"
366,"Masters",10,"Economics","Man","India","$180k - $200k"
367,"Masters",10,"Others","Man","France","$80k - $100k"
368,"Masters",3,"Others","Man","United Kingdom","$40k - $60k"
369,"Masters",0,"Others","Man","USA","$40k - $60k"
370,"Others",2,"Others","Man","Germany","$60k - $80k"
371,"Bachelors",1,"Others","Man","USA","$40k - $60k"
372,"Bachelors",0,"Others","Man","Brazil","Less than $20,000"
373,"Bachelors",2,"Others","Man","United Kingdom","$20k - $40k"
374,"Bachelors",0,"Others","Man","Others","$20k - $40k"
375,"Bachelors",2,"Others","Man","Brazil","$20k - $40k"
376,"Others",5,"Others","Man","Others","$40k - $60k"
377,"Masters",3,"Others","Man","Others","$60k - $80k"
378,"Masters",1.5,"Others","Man","USA","$200k+"
379,"Masters",4,"Others","Man","Others","Less than $20,000"
380,"Bachelors",10,"Others","Man","USA","$120k - $140k"
381,"Bachelors",30,"Others","Man","USA","$60k - $80k"
382,"Bachelors",2,"Others","Man","Others","$20k - $40k"
383,"PhD",0,"Others","Man","USA","$120k - $140k"
384,"PhD",0,"Others","Man","Others","$20k - $40k"
385,"Bachelors",6,"Others","Man","USA","$80k - $100k"
386,"Masters",8,"Others","Man","USA","$180k - $200k"
387,"Bachelors",4,"Business Administration","Man","Brazil","$80k - $100k"
388,"Masters",3,"Physics","Man","Others","$40k - $60k"
389,"Masters",0,"Mathematics","Man","Others","$20k - $40k"
390,"Others",4,"Biology","Man","USA","$20k - $40k"
391,"Masters",3,"Others","Man","Others","$20k - $40k"
392,"PhD",3,"Others","Man","Others","Less than $20,000"
393,"Masters",0,"Others","Man","Others","Less than $20,000"
394,"Masters",0,"Others","Man","USA","$20k - $40k"
395,"Others",1,"Others","Man","United Kingdom","$20k - $40k"
396,"Bachelors",3,"Others","Man","Canada","$20k - $40k"
397,"PhD",1.5,"Physics","Man","Others","$40k - $60k"
398,"Masters",2,"Others","Man","Australia","Less than $20,000"
399,"Masters",0,"Physics","Man","Germany","$20k - $40k"
400,"Masters",1,"Physics","Man","Others","$40k - $60k"
401,"Masters",2,"Others","Man","Argentina","$40k - $60k"
402,"Others",5,"Others","Man","Germany","$40k - $60k"
403,"Masters",6,"Others","Man","USA","$180k - $200k"
404,"Masters",2,"Economics","Man","Australia","$60k - $80k"
405,"PhD",7,"Others","Man","Others","$40k - $60k"
406,"PhD",7,"Physics","Man","USA","$40k - $60k"
407,"PhD",6,"Others","Man","Others","$20k - $40k"
408,"PhD",1,"Others","Man","Germany","$60k - $80k"
409,"PhD",3,"Biology","Man","Others","$20k - $40k"
410,"PhD",6,"Physics","Man","Others","$20k - $40k"
411,"Bachelors",3,"Others","Man","United Kingdom","$180k - $200k"
412,"Masters",10,"Others","Man","India","$40k - $60k"
413,"Masters",7,"Others","Man","India","$40k - $60k"
414,"Masters",5,"Physics","Man","USA","$200k+"
415,"Others",5,"Others","Man","India","$80k - $100k"
416,"Others",10,"Philosophy","Man","USA","$180k - $200k"
417,"Others",8,"Others","Man","USA","$100k - $120k"
418,"PhD",18,"Philosophy","Man","USA","$200k+"
419,"Masters",5,"Others","Man","India","$40k - $60k"
420,"PhD",15,"Others","Man","USA","$200k+"
421,"Bachelors",1,"Others","Man","India","Less than $20,000"
422,"Bachelors",5,"Others","Man","USA","$140k - $160k"
423,"Masters",3,"Others","Man","USA","$100k - $120k"
424,"Masters",0,"Others","Man","Spain","$60k - $80k"
425,"Bachelors",20,"Others","Man","USA","$120k - $140k"
426,"Masters",5,"Others","Man","Others","$20k - $40k"
427,"Masters",1,"Others","Man","Others","$20k - $40k"
428,"PhD",8,"Engineering","Man","Canada","$80k - $100k"
429,"PhD",0,"Others","Man","Others","$60k - $80k"
430,"PhD",0,"Others","Man","Others","$20k - $40k"
431,"PhD",4,"Business Administration","Man","India","$60k - $80k"
432,"PhD",0,"Others","Man","Canada","$120k - $140k"
