"id","What technologies do you use to visualize data? Select all that apply._01","What technologies do you use to visualize data? Select all that apply._02","What technologies do you use to visualize data? Select all that apply._03","What technologies do you use to visualize data? Select all that apply._04","What technologies do you use to visualize data? Select all that apply._05","What technologies do you use to visualize data? Select all that apply._06","What technologies do you use to visualize data? Select all that apply._07","What technologies do you use to visualize data? Select all that apply._08","What technologies do you use to visualize data? Select all that apply._09","What technologies do you use to visualize data? Select all that apply._10","What technologies do you use to visualize data? Select all that apply._11","What technologies do you use to visualize data? Select all that apply._12","What technologies do you use to visualize data? Select all that apply._13","What technologies do you use to visualize data? Select all that apply._14","What technologies do you use to visualize data? Select all that apply._15","What technologies do you use to visualize data? Select all that apply._16","What technologies do you use to visualize data? Select all that apply._17","What technologies do you use to visualize data? Select all that apply._18","What technologies do you use to visualize data? Select all that apply._19","What technologies do you use to visualize data? Select all that apply._20"
730,"Illustrator","Mapbox","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,"D3","Illustrator","Tableau","Vega","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"D3","Angular","Mapbox","kepler.gl","Plotly","React","WebGL","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,"D3","Excel","ggplot2","Plotly","Python","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,"D3","ggplot2","Gephi","Illustrator","Leaflet","Mapbox","kepler.gl","Plotly","Processing","Python","R","Tableau","WebGL","Canvas","P5/Processing","Unity3D",NA,NA,NA,NA
735,"D3","Excel","Python","QGIS","R","Vue","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,"D3","Gephi","Mapbox","Python","QGIS","React","Tableau","Pen & Paper","Other physical materials","Greensock","Canvas","Three.js",NA,NA,NA,NA,NA,NA,NA,NA
737,"D3","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,"ggplot2","Illustrator","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,"D3","Excel","ggplot2","Gephi","Highcharts","Illustrator","Leaflet","Mapbox","Plotly","Processing","QGIS","Qlik","R","Tableau","Vega","Web Components","Pen & Paper","P5/Processing",NA,NA
740,"Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,"D3","Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,"ArcGIS","D3","Angular","Excel","Processing","QGIS","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,"Excel","Illustrator","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,"Illustrator","Pen & Paper","Infogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,"D3","React","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746,"D3","Angular","Leaflet","Mapbox","Plotly","Power BI","Python","React","Tableau","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747,"Excel","Illustrator","Mapbox","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,"D3","Python","R","React","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,"ArcGIS","Excel","ggplot2","Illustrator","Leaflet","Mapbox","Plotly","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
750,"ArcGIS","D3","Excel","Highcharts","Illustrator","Leaflet","Mapbox","Power BI","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
751,"D3","Excel","ggplot2","Leaflet","Plotly","Python","Canvas","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,"React","Pen & Paper","Vector tools","Illustrator","Adobe XD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,"D3","Mapbox","React","WebGL","deck.gl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,"ArcGIS","Excel","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
755,"Illustrator","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
756,"D3","Excel","ggplot2","Plotly","Power BI","Python","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
757,"D3","Excel","Leaflet","Mapbox","kepler.gl","Power BI","Python","QGIS","Tableau","Vue","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA
758,"ArcGIS","Angular","Excel","Illustrator","Java","Leaflet","Mapbox","Power BI","Python","QGIS","R","Tableau","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA
759,"D3","Mapbox","kepler.gl","Processing","React","Vega","WebGL","Pen & Paper","Canvas","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"D3","Python","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,"ArcGIS","Gephi","Illustrator","Mapbox","QGIS","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
762,"ArcGIS","Illustrator","Mapbox","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
763,"D3","Excel","Illustrator","Mapbox","Python","QGIS","R","Tableau","Vega","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA
764,"Excel","Illustrator","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
765,"Excel","Illustrator","Tableau","InDesign","Datawrapper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
766,"ggplot2","Leaflet","Mapbox","Plotly","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767,"Excel","ggplot2","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"D3","Leaflet","Mapbox","Python","QGIS","R","React","Vue","Pen & Paper","Numbers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
769,"ggplot2","Illustrator","QGIS","R","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
770,"ArcGIS","Excel","Highcharts","Leaflet","Mapbox","Power BI","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
771,"Mapbox","kepler.gl","Python","QGIS","Apache superset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
772,"Power BI","QGIS","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
773,"Excel","ggplot2","Power BI","R","WebGL","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
774,"Power BI","Qlik","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775,"D3","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"D3","Excel","Tableau","Google Data Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
777,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
778,"Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"D3","Excel","ggplot2","Python","R","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781,"D3","ggplot2","Leaflet","Mapbox","R","Tableau","Vue","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
782,"D3","Python","matplotlib","libsvgwrite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
783,"Excel","Python","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,"ggplot2","Highcharts","Leaflet","Mapbox","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
785,"Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
786,"D3","ggplot2","Illustrator","Leaflet","Mapbox","Power BI","Python","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
787,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,"D3","Excel","Highcharts","Illustrator","Microstrategy","Power BI","Processing","Qlik","R","Tableau","Pen & Paper","Other physical materials","OmniGraffle",NA,NA,NA,NA,NA,NA,NA
789,"Excel","Tableau","PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
790,"D3","Angular","Excel","Leaflet","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,"Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,"Tableau","Alteryx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,"D3","Java","Processing","Python","Tableau","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"ggplot2","Java","Plotly","Python","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,"ArcGIS","ggplot2","Illustrator","QGIS","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
797,"Microstrategy","Power BI","Qlik","Tableau","SAP Lumira","WebI","Tibco Spotfire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"Excel","ggplot2","Highcharts","Leaflet","Mapbox","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,"ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"D3","Angular","ggplot2","Illustrator","Leaflet","Mapbox","kepler.gl","Plotly","Python","R","React","Tableau","Vega","Vue","Web Components","WebGL","Pen & Paper","Greensock","Canvas","Matplotlib"
801,"Python","Tableau","Web Components","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802,"ArcGIS","Excel","ggplot2","R","Stata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,"ArcGIS","Python","QGIS","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,"Excel","Gephi","Illustrator","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805,"ggplot2","Leaflet","QGIS","R","Shiny (R)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,"Excel","Illustrator","React","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"D3","ggplot2","Gephi","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,"Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,"ArcGIS","Excel","Mapbox","Microstrategy","Power BI","Qlik","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,"Excel","ggplot2","Power BI","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"D3","Excel","Illustrator","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,"D3","Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,"ggplot2","R","Affinity Designer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815,"Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816,"D3","Leaflet","Python","React","WebGL","Pen & Paper","Canvas","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817,"D3","ggplot2","Leaflet","Python","React","WebGL","Pen & Paper","Other physical materials","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,"ArcGIS","Excel","Highcharts","Illustrator","Leaflet","Mapbox","kepler.gl","Python","QGIS","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819,"D3","Excel","Gephi","Vue","Javascript",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
820,"Excel","ggplot2","R","Tibco Spotfire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
821,"D3","Highcharts","Illustrator","Mapbox","Plotly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,"Excel","Illustrator","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
823,"D3","ggplot2","Power BI","Python","R","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824,"D3","Java","Leaflet","Mapbox","Python","QGIS","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,"D3","Highcharts","React","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,"Excel","Power BI","Python","QGIS","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827,"Excel","ggplot2","Mapbox","Power BI","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
828,"Highcharts","Plotly","Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
829,"D3","React","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
830,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,"ggplot2","Illustrator","Leaflet","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
832,"D3","Illustrator","Mapbox","kepler.gl","Processing","Python","WebGL","Other physical materials","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833,"D3","Angular","Illustrator","Power BI","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"Excel","ggplot2","Power BI","Python","R","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,"Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
836,"D3","Illustrator","Mapbox","Processing","QGIS","R","Web Components","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
837,"ArcGIS","Python","QGIS","R","Vega","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,"D3","Angular","Excel","Java","Python","React","Web Components","PHP","mySQL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
839,"D3","Angular","Illustrator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,"D3","Excel","ggplot2","Mapbox","Plotly","Power BI","Python","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
841,"D3","Gephi","Python","R","Spotfire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
842,"D3","Microstrategy","Power BI","Python","Qlik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
843,"Excel","ggplot2","Leaflet","Mapbox","Power BI","Python","QGIS","R","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,"Excel","ggplot2","Python","QGIS","Tableau","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
845,"Excel","Processing","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
846,"Excel","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"ggplot2","Illustrator","Plotly","Python","R","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
848,"ggplot2","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
849,"ggplot2","Python","R","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,"Illustrator","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851,"Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
852,"Plotly","Python","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
853,"Excel","ggplot2","Illustrator","Java","Plotly","Power BI","Python","R","Tableau","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"D3","ggplot2","Leaflet","Plotly","Python","R","Vega","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
855,"D3","Excel","Power BI","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
856,"D3","Excel","Illustrator","Leaflet","Mapbox","Power BI","Pen & Paper","Whiteboard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
857,"D3","Illustrator","Python","Pen & Paper","Sketch","Google Sheets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
858,"D3","ggplot2","Illustrator","Plotly","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,"D3","Excel","Illustrator","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,"Excel","ggplot2","Gephi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
861,"D3","React","Vega","Web Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,"ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863,"Excel","Mapbox","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,"D3","ggplot2","Plotly","R","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
865,"Excel","Highcharts","Data Studio","QuickSight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
866,"Excel","ggplot2","Illustrator","Leaflet","Plotly","QGIS","R","Tableau","Microsoft Office PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
867,"Excel","Illustrator","Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
868,"D3","ggplot2","Highcharts","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
869,"D3","Python","QGIS","Tableau","Canvas","Spotfire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
870,"Excel","ggplot2","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,"ArcGIS","Excel","ggplot2","Gephi","Power BI","Python","QGIS","Qlik","R","Vue","Other physical materials","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA
872,"ggplot2","Leaflet","Plotly","Power BI","QGIS","R","Tableau","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
873,"Excel","ggplot2","Python","seaboard & matplotlib (python)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
874,"D3","Excel","ggplot2","Plotly","R","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
875,"D3","Excel","React","Vega","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
876,"D3","Mapbox","Python","QGIS","React","Tableau","Greensock","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,"D3","Angular","Mapbox","kepler.gl","React","Tableau","Vue","Web Components","WebGL","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA
878,"ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
879,"D3","Excel","ggplot2","Illustrator","Plotly","Power BI","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
880,"D3","Excel","kepler.gl","Python","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,"Excel","Amcharts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,"Illustrator","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,"ArcGIS","Excel","ggplot2","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
885,"D3","Angular","ggplot2","Highcharts","R","React","Vue","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,"D3","Excel","Java","Mapbox","Processing","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"Excel","Python","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
888,"Cytoscape","D3","Angular","Excel","Gephi","Java","Leaflet","Mapbox","Processing","Python","R","WebGL","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA
889,"ArcGIS","D3","ggplot2","Highcharts","Mapbox","Plotly","Python","Qlik","R","React","Vue","Other physical materials","Matplotlib","Web Brain",NA,NA,NA,NA,NA,NA
890,"D3","Illustrator","Leaflet","Python","QGIS","WebGL","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
891,"Excel","Mapbox","Power BI","Python","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
892,"D3","Angular","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
893,"D3","Angular","Python","Web Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,"D3","Mapbox","React","Tableau","WebGL","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
895,"Excel","ggplot2","Gephi","Illustrator","Plotly","R","Tableau","Vega","Pen & Paper","PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,"ArcGIS","Excel","Leaflet","Mapbox","kepler.gl","Python","QGIS","Tableau","Pen & Paper","Voyant","Carto","Processing",NA,NA,NA,NA,NA,NA,NA,NA
897,"Illustrator","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
898,"Excel","Illustrator","R","Pen & Paper","Other physical materials","google sheets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
899,"Excel","Illustrator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900,"Excel","ggplot2","Python","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,"Excel","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
903,"D3","Mapbox","QGIS","React","Vue","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
904,"Excel","Illustrator","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
905,"D3","ggplot2","Plotly","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,"Excel","Tableau","Powerpoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,"Illustrator","PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
908,"Excel","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
909,"Excel","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,"Illustrator","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
911,"Excel","Illustrator","Processing","Tableau","Pen & Paper","Other physical materials","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
912,"Excel","Illustrator","Mapbox","Tableau","PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
